name,batch,seqlen,head,bw
torch,1,1024,16,3
flash_mla,1,1024,16,84
flash_infer,1,1024,16,62
flash_mla_triton,1,1024,16,19
torch,1,1024,32,3
flash_mla,1,1024,32,82
flash_infer,1,1024,32,62
flash_mla_triton,1,1024,32,19
torch,1,1024,64,3
flash_mla,1,1024,64,80
flash_infer,1,1024,64,65
flash_mla_triton,1,1024,64,20
torch,1,1024,128,2
flash_mla,1,1024,128,83
flash_infer,1,1024,128,84
flash_mla_triton,1,1024,128,22
torch,1,2048,16,6
flash_mla,1,2048,16,147
flash_infer,1,2048,16,121
flash_mla_triton,1,2048,16,38
torch,1,2048,32,5
flash_mla,1,2048,32,139
flash_infer,1,2048,32,121
flash_mla_triton,1,2048,32,38
torch,1,2048,64,4
flash_mla,1,2048,64,134
flash_infer,1,2048,64,120
flash_mla_triton,1,2048,64,39
torch,1,2048,128,2
flash_mla,1,2048,128,136
flash_infer,1,2048,128,138
flash_mla_triton,1,2048,128,39
torch,1,4096,16,10
flash_mla,1,4096,16,247
flash_infer,1,4096,16,209
flash_mla_triton,1,4096,16,72
torch,1,4096,32,7
flash_mla,1,4096,32,233
flash_infer,1,4096,32,207
flash_mla_triton,1,4096,32,71
torch,1,4096,64,4
flash_mla,1,4096,64,221
flash_infer,1,4096,64,208
flash_mla_triton,1,4096,64,72
torch,1,4096,128,2
flash_mla,1,4096,128,235
flash_infer,1,4096,128,216
flash_mla_triton,1,4096,128,71
torch,1,8192,16,14
flash_mla,1,8192,16,436
flash_infer,1,8192,16,341
flash_mla_triton,1,8192,16,140
torch,1,8192,32,8
flash_mla,1,8192,32,414
flash_infer,1,8192,32,345
flash_mla_triton,1,8192,32,142
torch,1,8192,64,4
flash_mla,1,8192,64,394
flash_infer,1,8192,64,332
flash_mla_triton,1,8192,64,138
torch,1,8192,128,2
flash_mla,1,8192,128,390
flash_infer,1,8192,128,355
flash_mla_triton,1,8192,128,122
torch,1,16384,16,14
flash_mla,1,16384,16,660
flash_infer,1,16384,16,544
flash_mla_triton,1,16384,16,229
torch,1,16384,32,8
flash_mla,1,16384,32,634
flash_infer,1,16384,32,541
flash_mla_triton,1,16384,32,230
torch,1,16384,64,4
flash_mla,1,16384,64,603
flash_infer,1,16384,64,529
flash_mla_triton,1,16384,64,228
torch,1,16384,128,2
flash_mla,1,16384,128,647
flash_infer,1,16384,128,518
flash_mla_triton,1,16384,128,158
torch,1,32768,16,15
flash_mla,1,32768,16,1053
flash_infer,1,32768,16,690
flash_mla_triton,1,32768,16,264
torch,1,32768,32,8
flash_mla,1,32768,32,1027
flash_infer,1,32768,32,686
flash_mla_triton,1,32768,32,264
torch,1,32768,64,4
flash_mla,1,32768,64,986
flash_infer,1,32768,64,675
flash_mla_triton,1,32768,64,264
torch,1,32768,128,2
flash_mla,1,32768,128,984
flash_infer,1,32768,128,851
flash_mla_triton,1,32768,128,174
torch,32,1055,16,3
flash_mla,32,1055,16,1273
flash_infer,32,1055,16,1152
flash_mla_triton,32,1055,16,415
torch,32,1055,32,3
flash_mla,32,1055,32,1278
flash_infer,32,1055,32,1098
flash_mla_triton,32,1055,32,245
torch,32,1055,64,3
flash_mla,32,1055,64,1208
flash_infer,32,1055,64,976
flash_mla_triton,32,1055,64,140
torch,32,1055,128,2
flash_mla,32,1055,128,986
flash_infer,32,1055,128,912
flash_mla_triton,32,1055,128,80
torch,32,2079,16,6
flash_mla,32,2079,16,1718
flash_infer,32,2079,16,1565
flash_mla_triton,32,2079,16,522
torch,32,2079,32,6
flash_mla,32,2079,32,1685
flash_infer,32,2079,32,1540
flash_mla_triton,32,2079,32,301
torch,32,2079,64,4
flash_mla,32,2079,64,1596
flash_infer,32,2079,64,1400
flash_mla_triton,32,2079,64,165
torch,32,2079,128,2
flash_mla,32,2079,128,1349
flash_infer,32,2079,128,1234
flash_mla_triton,32,2079,128,89
torch,32,4127,16,11
flash_mla,32,4127,16,2295
flash_infer,32,4127,16,2169
flash_mla_triton,32,4127,16,763
torch,32,4127,32,7
flash_mla,32,4127,32,2271
flash_infer,32,4127,32,2105
flash_mla_triton,32,4127,32,428
torch,32,4127,64,4
flash_mla,32,4127,64,2190
flash_infer,32,4127,64,1930
flash_mla_triton,32,4127,64,230
torch,32,4127,128,2
flash_mla,32,4127,128,1825
flash_infer,32,4127,128,1664
flash_mla_triton,32,4127,128,120
torch,32,8223,16,14
flash_mla,32,8223,16,2863
flash_infer,32,8223,16,2737
flash_mla_triton,32,8223,16,1006
torch,32,8223,32,8
flash_mla,32,8223,32,2843
